ServiceAgreement,IntervalStart,IntervalEnd,Quantity,UnitOfMeasure
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2023-03-15-00:00:00,2023-03-15-00:15:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2023-03-15-00:15:00,2023-03-15-00:30:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2023-03-15-00:30:00,2023-03-15-00:45:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2023-03-15-00:45:00,2023-03-15-01:00:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2023-03-15-01:00:00,2023-03-15-01:15:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2023-03-15-01:15:00,2023-03-15-01:30:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2023-03-15-01:30:00,2023-03-15-01:45:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2023-03-15-01:45:00,2023-03-15-02:00:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2023-03-15-02:00:00,2023-03-15-02:15:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2023-03-15-02:15:00,2023-03-15-02:30:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2023-03-15-02:30:00,2023-03-15-02:45:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2023-03-15-02:45:00,2023-03-15-03:00:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2023-03-15-03:00:00,2023-03-15-03:15:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2023-03-15-03:15:00,2023-03-15-03:30:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2023-03-15-03:30:00,2023-03-15-03:45:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2023-03-15-03:45:00,2023-03-15-04:00:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2023-03-15-04:00:00,2023-03-15-04:15:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2023-03-15-04:15:00,2023-03-15-04:30:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2023-03-15-04:30:00,2023-03-15-04:45:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2023-03-15-04:45:00,2023-03-15-05:00:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2023-03-15-05:00:00,2023-03-15-05:15:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2023-03-15-05:15:00,2023-03-15-05:30:00,0.0,kWh
